time,open,high,low,close
2008-10-02,0.70099998,0.70099998,0.70099998,0.70099998
2008-10-06,0.447,0.447,0.447,0.447
2008-10-07,0.70099998,0.70099998,0.70099998,0.70099998
2008-10-08,0.56300002,0.56300002,0.56300002,0.56300002
2008-10-09,0.51300001,0.51300001,0.51300001,0.51300001
2008-10-14,0.26899999,0.26899999,0.26899999,0.26899999
2008-10-15,0.228,0.228,0.228,0.228
2008-10-16,0.49700001,0.49700001,0.49700001,0.49700001
2008-10-20,1.09300005,1.09300005,1.09300005,1.09300005
2008-10-21,1.08800006,1.08800006,1.08800006,1.08800006
2008-10-22,1.03199995,1.03199995,1.03199995,1.03199995
2008-10-23,0.97600001,0.97600001,0.97600001,0.97600001
2008-10-27,0.75199997,0.75199997,0.75199997,0.75199997
2008-10-28,0.77700001,0.77700001,0.77700001,0.77700001
2008-10-29,0.55299997,0.55299997,0.55299997,0.55299997
2008-10-30,0.36000001,0.36000001,0.36000001,0.36000001
2008-11-03,0.45199999,0.45199999,0.45199999,0.45199999
2008-11-04,0.48699999,0.48699999,0.48699999,0.48699999
2008-11-05,0.40599999,0.40599999,0.40599999,0.40599999
2008-11-06,0.30399999,0.30399999,0.30399999,0.30399999
2008-11-10,0.223,0.223,0.223,0.223
2008-11-12,0.147,0.147,0.147,0.147
2008-11-13,0.198,0.198,0.198,0.198
2008-11-17,0.101,0.101,0.101,0.101
2008-11-18,0.132,0.132,0.132,0.132
2008-11-19,0.061,0.061,0.061,0.061
2008-11-20,0.02,0.02,0.02,0.02
2008-11-24,0.025,0.025,0.025,0.025
2008-11-25,0.122,0.122,0.122,0.122
2008-12-01,0.025,0.025,0.025,0.025
2008-12-02,0.035,0.035,0.035,0.035
2008-12-03,0.015,0.015,0.015,0.015
2008-12-04,0.018,0.018,0.018,0.018
2008-12-08,0.008,0.008,0.008,0.008
2008-12-09,0.03,0.03,0.03,0.03
2008-12-10,0.015,0.015,0.015,0.015
2008-12-11,0.005,0.005,0.005,0.005
2008-12-15,0.025,0.025,0.025,0.025
2008-12-16,0.015,0.015,0.015,0.015
2008-12-17,0.005,0.005,0.005,0.005
2008-12-18,0.005,0.005,0.005,0.005
2008-12-22,0.015,0.015,0.015,0.015
2008-12-23,0.015,0.015,0.015,0.015
2008-12-29,0.02,0.02,0.02,0.02
2008-12-30,0.081,0.081,0.081,0.081
2009-01-05,0.091,0.091,0.091,0.091
2009-01-06,0.13699999,0.13699999,0.13699999,0.13699999
2009-01-07,0.101,0.101,0.101,0.101
2009-01-08,0.081,0.081,0.081,0.081
2009-01-12,0.066,0.066,0.066,0.066
2009-01-13,0.117,0.117,0.117,0.117
2009-01-14,0.106,0.106,0.106,0.106
2009-01-15,0.106,0.106,0.106,0.106
2009-01-20,0.117,0.117,0.117,0.117
2009-01-21,0.122,0.122,0.122,0.122
2009-01-22,0.106,0.106,0.106,0.106
2009-01-26,0.117,0.117,0.117,0.117
2009-01-27,0.142,0.142,0.142,0.142
2009-01-28,0.183,0.183,0.183,0.183
2009-01-29,0.228,0.228,0.228,0.228
2009-02-02,0.264,0.264,0.264,0.264
2009-02-03,0.31999999,0.31999999,0.31999999,0.31999999
2009-02-04,0.30399999,0.30399999,0.30399999,0.30399999
2009-02-05,0.294,0.294,0.294,0.294
2009-02-09,0.28400001,0.28400001,0.28400001,0.28400001
2009-02-10,0.31999999,0.31999999,0.31999999,0.31999999
2009-02-11,0.31999999,0.31999999,0.31999999,0.31999999
2009-02-12,0.29899999,0.29899999,0.29899999,0.29899999
2009-02-17,0.29899999,0.29899999,0.29899999,0.29899999
2009-02-18,0.315,0.315,0.315,0.315
2009-02-19,0.31,0.31,0.31,0.31
2009-02-23,0.27900001,0.27900001,0.27900001,0.27900001
2009-02-24,0.29899999,0.29899999,0.29899999,0.29899999
2009-02-25,0.30399999,0.30399999,0.30399999,0.30399999
2009-02-26,0.27399999,0.27399999,0.27399999,0.27399999
2009-03-02,0.243,0.243,0.243,0.243
2009-03-03,0.264,0.264,0.264,0.264
2009-03-04,0.25400001,0.25400001,0.25400001,0.25400001
2009-03-05,0.183,0.183,0.183,0.183
2009-03-09,0.213,0.213,0.213,0.213
2009-03-10,0.243,0.243,0.243,0.243
2009-03-11,0.228,0.228,0.228,0.228
2009-03-12,0.20299999,0.20299999,0.20299999,0.20299999
2009-03-16,0.233,0.233,0.233,0.233
2009-03-17,0.23800001,0.23800001,0.23800001,0.23800001
2009-03-18,0.208,0.208,0.208,0.208
2009-03-19,0.198,0.198,0.198,0.198
2009-03-23,0.208,0.208,0.208,0.208
2009-03-24,0.213,0.213,0.213,0.213
2009-03-25,0.193,0.193,0.193,0.193
2009-03-26,0.147,0.147,0.147,0.147
2009-03-30,0.142,0.142,0.142,0.142
2009-03-31,0.208,0.208,0.208,0.208
